,f1-score,precision,recall,support
te03-0505,0.761904761904762,0.8888888888888888,0.6666666666666666,12.0
te03-0513,0.875,0.8076923076923077,0.9545454545454546,22.0
te03-0524,0.6428571428571429,0.75,0.5625,16.0
te03-0525,0.7000000000000001,1.0,0.5384615384615384,13.0
te03-0552,0.9090909090909091,0.9090909090909091,0.9090909090909091,22.0
te03-0577,0.7894736842105262,0.8333333333333334,0.75,20.0
te03-0586,0.967741935483871,1.0,0.9375,16.0
te03-0593,0.9047619047619048,0.8636363636363636,0.95,20.0
te03-0603,1.0,1.0,1.0,24.0
te03-0604,0.9387755102040817,0.92,0.9583333333333334,24.0
te03-0608,0.8363636363636364,0.7419354838709677,0.9583333333333334,24.0
te03-0611,0.875,0.875,0.875,24.0
te03-0616,0.9411764705882353,0.8888888888888888,1.0,24.0
te03-0620,0.8421052631578948,0.8,0.8888888888888888,18.0
te03-0621,0.9473684210526316,0.9,1.0,18.0
te03-0632,0.9285714285714286,0.9285714285714286,0.9285714285714286,14.0
te03-0660,0.8,0.7619047619047619,0.8421052631578947,19.0
te03-0676,0.8727272727272727,0.7741935483870968,1.0,24.0
te03-0704,1.0,1.0,1.0,16.0
te03-0717,1.0,1.0,1.0,15.0
te03-0730,0.9777777777777777,1.0,0.9565217391304348,23.0
te03-0747,1.0,1.0,1.0,17.0
te03-0750,0.9411764705882353,0.8888888888888888,1.0,16.0
te03-0776,0.5925925925925926,1.0,0.42105263157894735,19.0
te03-0782,0.9361702127659575,0.88,1.0,22.0
te03-0798,0.7727272727272727,0.8095238095238095,0.7391304347826086,23.0
te03-0800,0.9500000000000001,0.9047619047619048,1.0,19.0
te03-0805,0.7741935483870968,0.8571428571428571,0.7058823529411765,17.0
te03-0811,0.9500000000000001,0.95,0.95,20.0
te03-0819,0.5957446808510638,0.5,0.7368421052631579,19.0
te03-0839,0.896551724137931,0.8125,1.0,13.0
te03-0848,0.9056603773584906,0.8275862068965517,1.0,24.0
te03-0856,0.9523809523809523,0.9090909090909091,1.0,20.0
te03-0864,0.7272727272727273,0.8571428571428571,0.631578947368421,19.0
te03-0880,0.8571428571428572,0.7777777777777778,0.9545454545454546,22.0
te03-0889,0.9583333333333334,0.9583333333333334,0.9583333333333334,24.0
te03-0892,0.8727272727272727,0.7741935483870968,1.0,24.0
te03-0910,1.0,1.0,1.0,21.0
te03-0927,0.9333333333333333,0.875,1.0,21.0
te03-0936,0.7222222222222223,0.8125,0.65,20.0
te03-0944,0.8518518518518519,0.7666666666666667,0.9583333333333334,24.0
te03-0948,0.5853658536585366,0.7058823529411765,0.5,24.0
te03-0950,0.9545454545454545,0.9130434782608695,1.0,21.0
te03-0954,0.7333333333333333,0.7333333333333333,0.7333333333333333,15.0
te03-0960,0.8979591836734695,0.8461538461538461,0.9565217391304348,23.0
te03-0975,0.85,0.9444444444444444,0.7727272727272727,22.0
te03-0978,0.8823529411764706,1.0,0.7894736842105263,19.0
te03-0980,0.8666666666666666,0.7647058823529411,1.0,13.0
te03-1007,0.8780487804878048,0.8571428571428571,0.9,20.0
te03-1016,0.8571428571428572,0.7777777777777778,0.9545454545454546,22.0
te03-1025,0.9333333333333333,0.875,1.0,14.0
te03-1039,0.9600000000000001,0.9230769230769231,1.0,12.0
te03-1051,0.9743589743589743,0.95,1.0,19.0
te03-1055,0.8372093023255813,0.72,1.0,18.0
te03-1059,0.8727272727272727,0.7741935483870968,1.0,24.0
te03-1067,0.9600000000000001,0.9230769230769231,1.0,24.0
te03-1072,0.8275862068965517,0.7058823529411765,1.0,24.0
te03-1079,0.9600000000000001,0.9230769230769231,1.0,24.0
te03-1086,0.8214285714285715,0.696969696969697,1.0,23.0
te03-1093,0.8571428571428571,1.0,0.75,20.0
te03-1098,0.3571428571428571,1.0,0.21739130434782608,23.0
te03-1104,0.888888888888889,0.8571428571428571,0.9230769230769231,13.0
te03-1105,0.6,0.42857142857142855,1.0,24.0
te03-1109,0.8979591836734695,0.8461538461538461,0.9565217391304348,23.0
te03-1110,0.851063829787234,0.8695652173913043,0.8333333333333334,24.0
te03-1118,0.7804878048780488,0.7619047619047619,0.8,20.0
te03-1133,1.0,1.0,1.0,19.0
te03-1156,0.9090909090909091,0.9090909090909091,0.9090909090909091,22.0
te03-1213,0.6333333333333333,0.5277777777777778,0.7916666666666666,24.0
te03-1230,0.8780487804878048,0.8571428571428571,0.9,20.0
te03-1291,0.9375,1.0,0.8823529411764706,17.0
te03-1308,0.8333333333333334,0.8333333333333334,0.8333333333333334,18.0
te03-1318,0.9047619047619047,0.8260869565217391,1.0,19.0
te03-1320,0.7647058823529413,0.8666666666666667,0.6842105263157895,19.0
te03-1325,0.923076923076923,0.8571428571428571,1.0,24.0
te03-1330,0.923076923076923,0.8571428571428571,1.0,24.0
te03-1334,0.9795918367346939,0.96,1.0,24.0
te03-1342,0.9655172413793104,1.0,0.9333333333333333,15.0
te03-1347,0.9565217391304348,0.9166666666666666,1.0,22.0
te03-1348,0.9743589743589743,0.95,1.0,19.0
te03-1364,0.88,1.0,0.7857142857142857,14.0
te03-1365,0.9777777777777777,0.9565217391304348,1.0,22.0
te03-1372,0.9166666666666666,0.9166666666666666,0.9166666666666666,24.0
te03-1377,0.7567567567567567,0.8235294117647058,0.7,20.0
te03-1380,0.88,0.7857142857142857,1.0,22.0
te03-1398,0.9056603773584906,0.8275862068965517,1.0,24.0
te03-1400,0.17391304347826084,1.0,0.09523809523809523,21.0
te04-0012,0.7777777777777777,0.875,0.7,20.0
te04-0037,0.7931034482758621,0.6764705882352942,0.9583333333333334,24.0
te04-0080,0.9142857142857143,0.9411764705882353,0.8888888888888888,18.0
te04-0092,0.9,0.8571428571428571,0.9473684210526315,19.0
te04-0101,0.6060606060606061,0.7692307692307693,0.5,20.0
te04-0102,0.8333333333333333,0.7894736842105263,0.8823529411764706,17.0
te04-0103,0.9600000000000001,0.9230769230769231,1.0,24.0
te04-0107,0.7111111111111111,0.7619047619047619,0.6666666666666666,24.0
te04-0125,0.9189189189189189,1.0,0.85,20.0
te04-0130,0.8333333333333333,0.9090909090909091,0.7692307692307693,13.0
te04-0141,1.0,1.0,1.0,21.0
te04-0149,0.8749999999999999,0.84,0.9130434782608695,23.0
te04-0153,0.92,0.8518518518518519,1.0,23.0
te04-0154,1.0,1.0,1.0,14.0
te04-0172,0.8979591836734695,0.8461538461538461,0.9565217391304348,23.0
te04-0203,0.6428571428571429,0.75,0.5625,16.0
te04-0215,0.9600000000000001,0.9230769230769231,1.0,24.0
te04-0234,0.9230769230769231,0.9230769230769231,0.9230769230769231,13.0
te04-0241,0.8571428571428571,0.75,1.0,24.0
te04-0253,0.9333333333333333,0.875,1.0,14.0
te04-0268,0.7000000000000001,0.875,0.5833333333333334,24.0
te04-0272,0.7,0.7,0.7,20.0
te04-0280,0.8947368421052632,0.9444444444444444,0.85,20.0
te04-0303,0.9333333333333333,1.0,0.875,16.0
te04-0329,0.9333333333333333,0.875,1.0,21.0
te04-0346,0.5945945945945946,0.7857142857142857,0.4782608695652174,23.0
te04-0350,0.9473684210526316,0.9,1.0,18.0
te04-0353,0.7499999999999999,1.0,0.6,20.0
te04-0361,1.0,1.0,1.0,20.0
te04-0367,0.6976744186046512,0.75,0.6521739130434783,23.0
te04-0373,0.8333333333333334,0.7407407407407407,0.9523809523809523,21.0
te04-0378,0.8,0.8333333333333334,0.7692307692307693,13.0
te04-0384,0.8799999999999999,0.8461538461538461,0.9166666666666666,24.0
te04-0395,0.5517241379310345,1.0,0.38095238095238093,21.0
te04-0398,0.8947368421052632,1.0,0.8095238095238095,21.0
te04-0416,0.8979591836734693,0.8148148148148148,1.0,22.0
te04-0424,0.8292682926829269,0.8095238095238095,0.85,20.0
te04-0449,0.3870967741935483,0.5454545454545454,0.3,20.0
te04-0467,0.8444444444444444,0.7916666666666666,0.9047619047619048,21.0
te04-0477,0.6666666666666666,0.7142857142857143,0.625,24.0
te04-0479,0.8727272727272727,0.7741935483870968,1.0,24.0
te04-0483,0.84,0.7777777777777778,0.9130434782608695,23.0
te04-0487,0.8095238095238095,0.7391304347826086,0.8947368421052632,19.0
te04-0489,0.8717948717948718,0.8095238095238095,0.9444444444444444,18.0
te04-0496,0.8076923076923077,0.7,0.9545454545454546,22.0
te04-0497,0.8333333333333334,0.8333333333333334,0.8333333333333334,18.0
te04-0510,0.9056603773584906,0.8275862068965517,1.0,24.0
te04-0521,0.9523809523809523,0.9090909090909091,1.0,20.0
te04-0529,0.7391304347826089,0.68,0.8095238095238095,21.0
te04-0543,0.8571428571428571,0.8333333333333334,0.8823529411764706,17.0
te04-0574,0.7272727272727272,0.8,0.6666666666666666,18.0
te04-0581,0.8333333333333333,1.0,0.7142857142857143,21.0
te04-0582,0.6229508196721311,0.5135135135135135,0.7916666666666666,24.0
te04-0596,1.0,1.0,1.0,19.0
te04-0602,0.9090909090909091,0.8333333333333334,1.0,20.0
te04-0624,0.4444444444444444,0.8571428571428571,0.3,20.0
te04-0641,0.8679245283018867,0.7931034482758621,0.9583333333333334,24.0
te04-0651,0.9500000000000001,0.9047619047619048,1.0,19.0
te04-0664,1.0,1.0,1.0,19.0
te04-0665,0.9583333333333334,0.9583333333333334,0.9583333333333334,24.0
te04-0669,0.8333333333333333,0.8823529411764706,0.7894736842105263,19.0
te04-0677,0.975609756097561,0.9523809523809523,1.0,20.0
te04-0697,0.9787234042553191,1.0,0.9583333333333334,24.0
te04-0707,0.9523809523809523,0.9090909090909091,1.0,20.0
te04-0721,0.8260869565217392,0.7307692307692307,0.95,20.0
te04-0729,0.9090909090909091,0.8823529411764706,0.9375,16.0
te04-0753,0.9600000000000001,1.0,0.9230769230769231,13.0
te04-0761,0.8571428571428572,0.7894736842105263,0.9375,16.0
te04-0775,0.9019607843137255,0.8214285714285714,1.0,23.0
te04-0779,0.7647058823529412,0.9285714285714286,0.65,20.0
te04-0797,0.8387096774193549,0.7647058823529411,0.9285714285714286,14.0
te04-0811,0.9600000000000001,1.0,0.9230769230769231,13.0
te04-0813,0.9166666666666666,1.0,0.8461538461538461,13.0
te04-0827,0.3846153846153846,0.7142857142857143,0.2631578947368421,19.0
te04-0832,0.6153846153846153,0.8888888888888888,0.47058823529411764,17.0
te04-0838,0.846153846153846,0.7333333333333333,1.0,22.0
te04-0842,0.8125000000000001,1.0,0.6842105263157895,19.0
te04-0845,0.8823529411764706,0.8823529411764706,0.8823529411764706,17.0
te04-0849,0.6666666666666666,0.7368421052631579,0.6086956521739131,23.0
te04-0857,0.9387755102040816,0.8846153846153846,1.0,23.0
te04-0885,0.5625,1.0,0.391304347826087,23.0
te04-0889,0.7027027027027025,0.9285714285714286,0.5652173913043478,23.0
te04-0895,0.7741935483870968,0.631578947368421,1.0,24.0
te04-0897,0.9199999999999999,0.8846153846153846,0.9583333333333334,24.0
te04-0899,0.65,0.7647058823529411,0.5652173913043478,23.0
te04-0901,0.9795918367346939,0.96,1.0,24.0
te04-0906,0.8571428571428571,0.8571428571428571,0.8571428571428571,14.0
te04-0932,0.7555555555555555,0.7727272727272727,0.7391304347826086,23.0
te04-0953,0.7692307692307692,0.7142857142857143,0.8333333333333334,18.0
te04-0962,0.830188679245283,0.7586206896551724,0.9166666666666666,24.0
te04-0970,0.3636363636363636,1.0,0.2222222222222222,18.0
te04-0976,0.888888888888889,0.9230769230769231,0.8571428571428571,14.0
te04-0990,0.923076923076923,0.8571428571428571,1.0,24.0
te04-0992,0.34285714285714286,0.375,0.3157894736842105,19.0
te04-1018,1.0,1.0,1.0,24.0
te04-1031,0.896551724137931,0.9285714285714286,0.8666666666666667,15.0
te04-1035,1.0,1.0,1.0,21.0
te04-1046,0.7878787878787877,0.7222222222222222,0.8666666666666667,15.0
te04-1047,0.9387755102040817,0.92,0.9583333333333334,24.0
te04-1065,0.9500000000000001,0.95,0.95,20.0
te04-1118,0.717948717948718,0.875,0.6086956521739131,23.0
te04-1130,0.8500000000000001,0.8095238095238095,0.8947368421052632,19.0
